Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast,fecha_carga
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-23
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-24
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-24
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-24
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-25
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-25
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-25
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-26
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-26
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-26
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-27
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-27
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-27
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-28
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-28
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-28
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-29
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-29
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-29
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-30
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-30
2025-09-01,08:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-30
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-31
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-31
2025-09-01,08:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-31
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-01
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-01
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-01
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-02
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-02
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-02
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-03
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-03
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-03
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-04
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-04
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-04
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-05
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-05
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-05
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-06
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-06
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-06
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-07
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-07
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-07
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-08
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-08
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-08
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-09
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-09
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-09
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-10
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-10
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-10
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-11
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-11
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-11
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-12
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-12
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-12
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-13
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-13
2025-10-01,06:40 AM,Inflation Rate YoY,Sep,,1.11%,,1.0%,2025-09-13
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-09-14
2025-09-01,06:30 AM,Inflation Rate YoY,Aug,1.11%,1.69%,,1.8%,2025-09-14
