Related,Last,Previous,Unit,Reference,fecha_carga
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-15
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-15
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-15
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-15
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-15
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-15
Producer Prices,130.21,130.73,points,May 2025,2025-07-15
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-16
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-16
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-16
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-16
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-16
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-16
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-16
Producer Prices,130.21,130.73,points,May 2025,2025-07-16
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-17
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-17
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-17
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-17
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-17
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-17
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-17
Producer Prices,130.21,130.73,points,May 2025,2025-07-17
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-18
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-18
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-18
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-18
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-18
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-18
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-18
Producer Prices,130.21,130.73,points,May 2025,2025-07-18
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-19
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-19
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-19
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-19
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-19
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-19
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-19
Producer Prices,130.21,130.73,points,May 2025,2025-07-19
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-20
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-20
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-20
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-20
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-20
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-20
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-20
Producer Prices,130.21,130.73,points,May 2025,2025-07-20
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-21
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-21
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-21
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-21
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-21
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-21
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-21
Producer Prices,130.21,130.73,points,May 2025,2025-07-21
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-22
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-22
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-22
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-22
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-22
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-22
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-22
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-22
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-23
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-23
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-23
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-23
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-23
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-23
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-23
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-23
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-24
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-24
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-24
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-24
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-24
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-24
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-24
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-24
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-25
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-25
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-25
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-25
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-25
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-25
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-25
